LOCATION,Country,TRANSACTION,SECTOR,TIME,Value
AUT,Austria,LF52,RS14_S15H,2013-Q1,43321
AUT,Austria,LF52,RS14_S15H,2013-Q2,42888
AUT,Austria,LF52,RS14_S15H,2013-Q3,43831
AUT,Austria,LF52,RS14_S15H,2013-Q4,44669
AUT,Austria,LF52,RS14_S15H,2014-Q1,45598
AUT,Austria,LF52,RS14_S15H,2014-Q2,47414
AUT,Austria,LF52,RS14_S15H,2014-Q3,48832
AUT,Austria,LF52,RS14_S15H,2014-Q4,50117
AUT,Austria,LF52,RS14_S15H,2015-Q1,54444
AUT,Austria,LF52,RS14_S15H,2015-Q2,53781
AUT,Austria,LF52,RS14_S15H,2015-Q3,51929
AUT,Austria,LF52,RS14_S15H,2015-Q4,53710
AUT,Austria,LF52,RS14_S15H,2016-Q1,53673
AUT,Austria,LF52,RS14_S15H,2016-Q2,54565
AUT,Austria,LF52,RS14_S15H,2016-Q3,56512
AUT,Austria,LF52,RS14_S15H,2016-Q4,57592
AUT,Austria,LF52,RS14_S15H,2017-Q1,59426
AUT,Austria,LF52,RS14_S15H,2017-Q2,59843
AUT,Austria,LF52,RS14_S15H,2017-Q3,60772
AUT,Austria,LF52,RS14_S15H,2017-Q4,62284
AUT,Austria,LF52,RS14_S15H,2018-Q1,62043
AUT,Austria,LF52,RS14_S15H,2018-Q2,62820
AUT,Austria,LF52,RS14_S15H,2018-Q3,63667
AUT,Austria,LF52,RS14_S15H,2018-Q4,59990
AUT,Austria,LF52,RS14_S15H,2019-Q1,63577
AUT,Austria,LF52,RS14_S15H,2019-Q2,64688
AUT,Austria,LF52,RS14_S15H,2019-Q3,66375
AUT,Austria,LF52,RS14_S15H,2019-Q4,68985
AUT,Austria,LF52,RS14_S15H,2020-Q1,61339
AUT,Austria,LF52,RS14_S15H,2020-Q2,66885
AUT,Austria,LF52,RS14_S15H,2020-Q3,68737
AUT,Austria,LF52,RS14_S15H,2020-Q4,73218
AUT,Austria,LF521,RS14_S15H,2013-Q1,202
AUT,Austria,LF521,RS14_S15H,2013-Q2,218
AUT,Austria,LF521,RS14_S15H,2013-Q3,196
AUT,Austria,LF521,RS14_S15H,2013-Q4,167
AUT,Austria,LF521,RS14_S15H,2014-Q1,152
AUT,Austria,LF521,RS14_S15H,2014-Q2,182
AUT,Austria,LF521,RS14_S15H,2014-Q3,186
AUT,Austria,LF521,RS14_S15H,2014-Q4,189
AUT,Austria,LF521,RS14_S15H,2015-Q1,218
AUT,Austria,LF521,RS14_S15H,2015-Q2,235
AUT,Austria,LF521,RS14_S15H,2015-Q3,180
AUT,Austria,LF521,RS14_S15H,2015-Q4,197
AUT,Austria,LF521,RS14_S15H,2016-Q1,170
AUT,Austria,LF521,RS14_S15H,2016-Q2,166
AUT,Austria,LF521,RS14_S15H,2016-Q3,252
AUT,Austria,LF521,RS14_S15H,2016-Q4,340
AUT,Austria,LF521,RS14_S15H,2017-Q1,398
AUT,Austria,LF521,RS14_S15H,2017-Q2,310
AUT,Austria,LF521,RS14_S15H,2017-Q3,371
AUT,Austria,LF521,RS14_S15H,2017-Q4,95
AUT,Austria,LF521,RS14_S15H,2018-Q1,146
AUT,Austria,LF521,RS14_S15H,2018-Q2,132
AUT,Austria,LF521,RS14_S15H,2018-Q3,162
AUT,Austria,LF521,RS14_S15H,2018-Q4,195
AUT,Austria,LF521,RS14_S15H,2019-Q1,147
AUT,Austria,LF521,RS14_S15H,2019-Q2,129
AUT,Austria,LF521,RS14_S15H,2019-Q3,117
AUT,Austria,LF521,RS14_S15H,2019-Q4,106
AUT,Austria,LF521,RS14_S15H,2020-Q1,129
AUT,Austria,LF521,RS14_S15H,2020-Q2,119
AUT,Austria,LF521,RS14_S15H,2020-Q3,107
AUT,Austria,LF521,RS14_S15H,2020-Q4,112
AUT,Austria,LF522,RS14_S15H,2013-Q1,43119
AUT,Austria,LF522,RS14_S15H,2013-Q2,42670
AUT,Austria,LF522,RS14_S15H,2013-Q3,43635
AUT,Austria,LF522,RS14_S15H,2013-Q4,44502
AUT,Austria,LF522,RS14_S15H,2014-Q1,45446
AUT,Austria,LF522,RS14_S15H,2014-Q2,47232
AUT,Austria,LF522,RS14_S15H,2014-Q3,48646
AUT,Austria,LF522,RS14_S15H,2014-Q4,49928
AUT,Austria,LF522,RS14_S15H,2015-Q1,54226
AUT,Austria,LF522,RS14_S15H,2015-Q2,53546
AUT,Austria,LF522,RS14_S15H,2015-Q3,51749
AUT,Austria,LF522,RS14_S15H,2015-Q4,53513
AUT,Austria,LF522,RS14_S15H,2016-Q1,53503
AUT,Austria,LF522,RS14_S15H,2016-Q2,54399
AUT,Austria,LF522,RS14_S15H,2016-Q3,56260
AUT,Austria,LF522,RS14_S15H,2016-Q4,57252
AUT,Austria,LF522,RS14_S15H,2017-Q1,59028
